X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100
-1.2338	2	0	-1.7014	-1.3842	0.7916	1	1	-0.2915	2	0	-2.5872	2	1	1.7899	2	4.1759	1.3658	-0.5929	-1.9637	0.0855	-1.9359	-0.6271	2.4261	0.3542	-0.8124	1	1	1	1	1.0853	-0.824	2	0.7094	1	-0.5973	2.2667	1.2676	0	-2.2648	1	2	0	-0.9911	1	-1.8633	1	-0.8469	1	0.7816	1	2	0	1	-2.8889	2	2	1.1261	-0.7338	-2.5988	0	0	-0.2482	-9.0949	0	1	1	2.8141	2	2	0	0	1	0	0	-0.0352	2	3.6455	0	0	-2.204	-1.7994	0.8021	-5.5511	-1.0736	0	4.7818	-4.47	1	2	1	-5.7696	3.8577	2	-1.9925	2	0	-1.9929	-1.1133	-2.0211
0.661	0	1	2.9181	-0.8668	-0.5675	2	2	-0.8359	1	0	0.4906	0	1	-1.5479	0	2.3686	2.0657	-1.2646	-0.9573	-4.2453	-2.0957	2.6516	-1.8359	-3.051	0.5331	0	2	0	0	0.5224	0.4541	1	1.1771	1	-0.3989	1.912	-0.1809	2	-0.3451	0	0	2	1.7126	1	0.8721	1	-0.507	1	1.1833	1	0	2	0	-1.2905	1	2	5.4494	0.2393	-2.2495	0	2	0.9731	-4.566	1	1	1	1.4137	2	2	2	1	0	1	1	0.7205	2	-0.827	0	0	5.4812	-0.3478	-0.4754	-1.6636	-0.568	1	0.7178	-2.9876	2	0	1	0.3435	3.7651	2	-1.2261	0	0	-1.1735	-1.9224	-1.3208
1.4904	0	1	1.1529	-4.17	-2.6659	0	0	-0.2844	1	2	-1.3151	0	1	0.4062	2	1.6117	2.6389	0.724	-2.2363	-3.4796	-1.3301	1.1353	-1.4326	-2.6878	-4.4717	1	2	1	1	7.11	1.7128	0	-3.3935	0	0.5786	-0.0078	-1.9839	2	3.1392	0	1	0	-0.957	1	0.2014	1	-1.9903	1	-1.2796	1	1	2	0	-6.305	1	2	5.4933	-1.0674	-4.0481	0	2	-1.032	0.9192	1	2	1	1.6812	1	2	1	0	1	1	2	-1.4277	1	1.2622	2	1	6.5455	0.2612	-2.8713	4.36	-1.2611	2	2.7228	-1.305	2	1	1	-1.4909	-1.6624	2	-6.1718	0	2	-2.4023	-1.6938	5.0691
1.8897	0	1	1.0619	-2.1874	1.8177	1	0	-1.4472	0	0	0.1099	0	0	-0.5191	0	-0.5388	-0.1145	-0.7392	-1.4626	0.1139	-2.0704	-0.0005	-2.981	0.468	0.5119	2	0	1	0	0.1825	1.5007	2	1.2876	1	-0.1008	-2.5043	-2.8004	0	-3.3805	0	0	0	1.0429	1	1.5373	1	2.1236	1	1.4723	2	0	1	0	0.2242	0	2	1.6653	0.214	5.4497	0	1	-3.6955	-3.1316	1	2	1	-1.192	1	0	0	0	0	2	2	-2.1988	1	-1.2351	1	0	1.568	-0.6048	-2.0031	-1.8755	1.9737	2	2.1298	-6.4596	2	1	0	3.3049	0.1582	1	-3.4567	1	0	-4.5228	-0.9101	-4.4157
0.9457	0	2	-0.6031	0.5437	0.9002	2	1	-0.9429	0	1	-0.2176	1	1	-0.6906	1	0.0569	-1.4523	5.3874	0.6627	2.8397	2.412	1.6691	-0.606	1.8149	0.6777	2	2	0	2	-1.3029	-3.5847	0	-0.4218	2	-1.6822	0.7395	-1.7448	2	-0.0076	2	2	1	-0.5941	1	-0.6194	2	-3.0477	0	-0.1463	2	2	2	1	1.2622	0	0	-3.4832	-0.5933	-3.9845	2	0	2.871	0.0595	1	1	0	-0.0251	1	0	1	2	0	1	0	1.2743	0	0.5046	1	2	-1.7849	-2.5521	0.4147	-3.6903	-1.6981	0	-0.241	3.6498	0	1	1	1.0649	5.0285	0	7.0463	1	0	0.0817	-0.64	4.4302
0.5215	2	2	-1.2759	-1.5884	-1.7607	2	0	-0.199	0	2	-1.3007	1	1	-1.1401	0	-0.8929	0.9106	-1.4162	-2.6828	-1.2535	-2.9137	-0.8272	-0.9328	-0.379	-1.7767	1	0	1	0	1.6213	-3.0716	0	-0.9586	0	0.3398	-2.2953	-1.9852	1	-1.0421	1	1	1	1.3771	1	1.3376	1	0.1495	2	-2.7424	1	0	1	1	-2.1876	1	2	3.0434	-3.1153	0.5346	0	2	0.0934	-0.912	1	2	1	1.5727	2	2	2	2	0	1	2	0.1906	0	0.205	2	0	3.8397	5.9358	3.3923	-7.372	-0.4498	2	-4.0114	3.8855	2	0	2	-1.6195	-5.4875	2	-0.4985	2	0	-0.8374	-2.1723	-0.6185
1.7226	1	1	-1.7302	-0.5802	-1.2149	2	0	1.1258	1	2	0.461	0	0	-0.546	1	1.4817	-4.4296	1.4322	-1.8087	7.0073	-2.1665	-0.5204	-3.919	7.877	-0.4137	0	0	2	0	-0.6737	2.7941	1	-1.072	0	-0.8789	-4.0102	-3.539	2	0.5665	1	1	0	-1.4957	1	-1.22	1	-0.0007	0	-1.8268	0	1	1	1	4.1272	0	0	-5.2531	2.7254	0.9667	0	1	-0.5521	4.6938	2	0	2	1.8081	1	2	0	0	2	1	0	-0.3127	1	5.3556	2	0	-6.4796	1.2968	-1.2833	-5.9671	-0.0598	0	0.7536	-3.1251	1	1	1	-7.7861	0.9826	0	0.6724	2	0	-2.0373	0.917	1.0559
-0.4339	0	0	0.701	0.7037	-1.17	1	2	-0.2183	0	1	-1.345	2	1	0.0642	1	0.801	1.8221	-0.0069	-1.1796	-2.0163	-2.3216	1.1727	0.5842	-0.9619	-2.0973	1	1	2	0	1.2456	1.9221	0	-3.8823	1	1.5545	-0.7344	-0.8686	0	-1.2847	0	0	0	0.6982	1	0.1234	0	0.2321	1	2.3966	2	1	2	0	-0.7835	2	1	3.9003	0.7713	-0.9245	0	1	-0.9405	-3.8625	1	2	1	2.4138	1	0	2	2	0	1	2	-1.2942	1	0.3115	1	2	1.661	0.9696	0.7812	-4.8427	0.7952	1	-0.2569	-1.1461	2	2	0	-3.2886	-0.4625	2	-3.6801	2	1	0.9193	-1.969	-2.3613
-1.8677	1	0	0.8309	-2.711	1.1327	2	0	-1.012	1	0	-0.8376	1	1	0.9238	0	-2.8824	0.2981	-1.8357	-0.7513	-2.2597	-1.8496	0.4623	3.5169	-0.5038	-1.6661	2	1	0	0	2.7717	1.2949	1	-1.9075	1	1.1973	-1.3626	2.051	2	0.1205	0	1	0	0.6867	1	1.2481	1	-1.0458	1	1.473	2	0	2	0	-1.3074	2	2	0.887	0.2208	-0.9304	0	2	2.9239	2.2791	0	0	1	1.5886	2	0	2	2	0	1	0	0.988	2	-6.0327	2	0	1.5827	0.4058	-2.7411	-1.3016	-1.021	1	-1.7109	6.3641	0	2	1	10.096	-1.884	1	4.2456	2	2	-4.7394	-0.8368	0.9483
-0.0315	1	0	2.8647	2.618	-0.0758	1	2	-1.9438	1	2	-1.4484	2	0	1.3828	0	0.317	0.9616	-1.7895	-2.895	-0.7692	-5.4101	-0.7189	-1.0384	0.2761	-0.8742	2	2	1	2	1.7149	-1.1866	1	-1.0972	2	1.557	-2.3236	-3.0832	1	-0.2073	0	2	1	3.7123	1	-1.9637	0	0.5621	1	-1.1481	2	2	0	0	2.2657	0	1	1.5397	-1.6325	-1.5953	0	0	-0.4452	-2.4925	0	2	1	4.2553	0	0	2	1	1	1	1	0.9549	0	-0.5402	2	2	2.7863	0.6939	-3.1934	-6.3454	2.9427	1	1.5477	-8.287	2	0	1	-0.0643	-3.0335	1	-4.8483	2	2	4.6855	1.4247	-0.6989
1.8655	2	1	-0.7163	3.3132	0.1838	2	2	-0.9762	1	0	-1.6178	2	1	1.7404	2	0.4822	0.3703	1.3698	-0.2796	1.8891	1.3231	-1.6546	-1.4671	1.5496	-1.7182	1	0	1	2	2.3927	2.3535	0	0.0991	2	-0.7658	-2.8385	-1.1603	1	1.9899	0	2	0	-1.7209	2	-0.5531	0	-0.7736	1	-0.9656	2	1	2	2	0.9401	1	0	-1.5319	-0.2501	-1.8657	0	1	-2.9699	2.2797	0	2	1	1.2774	2	2	1	0	1	2	1	2.2502	0	-1.2388	0	0	-3.1936	2.5366	-2.9104	1.0369	5.4593	0	1.1658	-1.0042	0	0	0	1.8084	3.0497	0	-4.0393	2	2	4.4493	-0.7898	0.0215
-0.3634	1	0	-1.1272	1.3976	-1.6135	0	1	1.6498	1	2	-1.5079	2	2	-0.6953	1	-0.6952	2.995	2.5614	-1.4903	-5.6893	-3.4155	-0.2369	1.3271	-5.3318	-0.6696	2	2	2	0	-0.0924	-0.9123	1	-2.8567	2	-0.663	5.9207	3.0517	1	0.7037	1	2	1	-0.0818	1	3.1151	1	-2.0391	1	0.0935	1	2	1	1	-6.3174	1	2	7.3246	-1.861	0.1914	1	0	0.2056	-2.9212	2	0	2	4.2201	2	2	2	1	2	1	1	1.0459	0	0.1529	2	1	4.6952	1.4941	0.4695	-4.6969	-3.3974	2	-0.2613	-1.9543	2	0	1	-1.3412	-3.3175	2	-3.9155	2	0	3.4549	-3.6705	2.2216
0.4681	1	1	0.0897	0.7397	1.8869	0	2	-1.1567	0	2	0.7876	2	0	-1.2083	0	2.3154	-1.2805	-0.9354	0.4561	2.4171	0.8726	1.7966	-3.0962	0.674	-2.3396	0	0	1	0	1.9555	1.1412	0	-0.1908	2	-0.9909	-2.5563	-2.6039	0	-4.3264	0	2	0	-0.7034	2	1.2003	1	3.0178	1	3.3689	2	0	2	1	0.5716	0	0	-1.9853	2.3503	4.7786	2	1	-3.6556	-6.7573	2	0	1	-0.2322	1	0	0	0	2	1	0	0.756	1	5.0255	1	0	-0.0526	0.0048	-0.1754	-2.6464	0.6981	0	-2.0349	5.0552	1	0	0	-4.7508	2.0966	0	0.8975	2	2	-1.7884	-1.8322	0.9353
-2.8489	0	0	-0.0918	-2.1844	1.7216	1	0	0.7274	2	2	1.3873	1	1	-0.2544	1	0.8922	-1.6246	-0.3041	2.1381	2.7986	0.9141	-0.9182	5.513	1.4476	-1.1641	2	0	2	2	1.4384	0.0772	2	-1.7304	0	1.2157	-2.6113	4.5694	2	1.1332	0	1	0	2.2681	2	1.361	2	-0.023	1	1.5864	0	0	1	2	1.9234	2	0	-5.0853	2.0981	1.1093	2	2	4.8871	3.7062	0	1	1	-2.7769	2	1	0	1	0	1	1	3.6551	1	3.9043	0	2	-3.8615	-1.812	-0.8281	3.1549	4.5338	0	0.2486	2.907	0	0	2	-1.4189	-0.7554	0	6.1627	0	2	-3.789	0.8657	-2.0247
-0.0379	2	0	0.4952	-1.2104	1.5645	2	0	-0.8003	2	2	-0.9992	0	0	-0.507	1	1.4302	-0.5385	-2.6849	-1.3614	1.0171	0.6557	-0.2945	1.4206	-0.3191	2.6509	1	1	1	2	-3.6427	2.5976	2	2.656	2	0.1548	-3.2073	-2.5513	0	-1.0804	2	2	0	1.4781	2	1.8697	2	1.3957	0	1.0818	0	0	1	2	0.4098	2	0	0.2443	1.8413	0.113	2	0	1.6842	-3.9732	2	2	0	0.6282	2	0	0	1	1	2	1	-1.0268	0	0.4238	1	0	-1.944	0.2059	-0.436	-0.8749	2.8219	0	-1.887	-1.374	0	1	1	0.5098	3.172	2	4.3298	2	2	-3.4706	-1.3483	0.9527
-0.2524	2	0	0.5902	1.4617	-0.4546	0	1	-0.1389	2	2	0.0622	0	2	-1.6316	0	-1.1964	-0.782	-0.8593	-0.4542	-0.166	0.344	-0.3039	-0.1136	1.0976	1.2783	1	1	1	2	-1.698	1.6653	1	0.358	2	0.1971	0.0115	1.0413	2	-0.1535	2	2	2	1.7755	0	-1.3915	2	-1.6788	0	1.355	1	0	2	2	2.9611	2	0	1.7556	2.1635	-0.1749	2	0	1.1226	2.973	1	0	0	1.0069	0	0	1	0	2	2	1	-2.0091	1	2.1027	1	1	2.9786	1.681	3.4618	-2.5295	2.6492	2	0.131	-0.4129	2	2	1	-1.5926	-0.5627	0	1.5207	2	1	1.0884	5.1098	1.1354
-0.1502	1	1	-0.3969	2.1372	-0.1984	2	2	-0.207	0	0	-1.332	1	0	-0.1493	0	3.158	1.1168	-0.2541	-1.8512	-6.2303	0.1301	1.8298	0.4002	-4.2545	0.5362	0	0	0	0	-1.0349	-0.464	0	0.5559	2	-2.4848	1.9112	-0.0424	1	-1.2119	2	2	1	-0.853	2	0.3642	0	-1.2664	0	-0.5095	1	0	1	2	-4.3606	0	2	11.9005	-1.0752	-2.0891	1	0	-1.3657	-5.3197	0	1	2	4.0927	1	2	1	0	1	2	0	0.2114	0	0.0108	1	0	7.1993	-2.4638	1.2923	-5.3947	-1.47	1	0.7922	-3.2478	2	2	1	-0.2161	3.5603	1	0.409	2	0	0.7337	0.1967	-4.8791
-1.9707	2	0	1.0255	0.3608	0.317	2	2	-0.5493	0	2	0.2656	1	0	-2.5254	1	2.0479	-0.389	0.0446	-2.5952	-0.884	-4.4803	-2.3532	0.9797	-0.7173	3.1423	2	1	1	0	-3.2071	-2.3149	2	1.0624	1	-1.598	-1.8097	-0.6445	0	0.1928	1	0	2	4.2019	1	0.5617	1	0.2726	2	2.7392	2	2	2	0	3.5024	2	2	4.0823	-2.3229	-3.0806	1	1	-0.6457	-0.0948	2	2	0	1.836	2	0	1	0	1	0	2	-0.121	0	5.9379	2	2	1.1233	-0.4325	1.6224	-5.4257	4.1776	2	0.4712	-7.322	2	2	2	-3.6081	0.9063	2	-7.3216	2	0	1.3047	-2.0043	0.8481
0.6215	2	1	-1.0186	-1.9263	0.9267	0	0	-0.6542	2	0	-0.9476	2	1	2.626	2	3.591	-1.7229	0.0587	-1.1237	3.3389	-3.077	-1.0729	2.5083	1.3078	0.0854	0	0	1	0	3.4251	0.2178	1	-0.4257	1	0.7851	-4.9075	5.8058	0	0.3294	0	2	0	-0.7405	1	-0.0428	1	-1.4597	1	-2.2752	2	0	0	2	-0.263	1	0	-1.8558	-2.6699	-4.3544	0	1	2.3376	-0.5121	0	2	1	0.2219	2	2	2	2	0	2	2	-0.3734	0	2.2656	2	0	-5.1455	-0.9624	1.5663	1.7039	4.8222	0	3.8984	-3.8613	1	0	1	-2.0602	4.5185	0	-1.5506	1	2	-3.9595	-0.1063	1.6864
1.1192	2	1	-0.5704	2.732	-1.4889	1	1	-0.3893	2	2	2.0329	2	2	-1.0989	0	-0.3495	-1.2225	0.0361	1.023	3.1949	2.2083	-1.8598	-0.8973	2.4319	-0.385	1	0	2	0	0.5189	-1.2225	1	-1.2826	2	1.6434	-0.3272	2.1177	1	1.5004	1	1	1	-3.6097	0	-1.6323	1	-0.1292	2	-0.7979	1	1	0	1	4.545	1	0	-8.3999	-0.6741	-0.6617	2	2	-2.1571	1.3368	2	1	1	0.5657	1	2	2	0	1	1	2	-0.1233	0	1.4976	1	2	-1.9591	1.3842	0.0116	4.61	-1.3425	0	-2.6658	7.1143	1	1	2	-4.3214	0.8495	0	-6.0944	1	0	4.7175	-0.0281	-0.0673
-2.5315	1	2	-1.3794	2.0619	-1.9697	2	1	0.3478	0	2	-1.544	2	1	-1.0223	2	2.807	1.7278	-1.4772	-2.3895	-3.4791	-1.4464	1.2382	0.4695	-2.9318	-0.4389	1	2	0	1	0.5139	-3.4499	0	0.1611	2	-0.8572	5.0902	2.1756	2	1.0494	0	2	1	1.6407	1	-0.1375	1	2.4333	1	0.5677	1	0	0	2	-3.8604	1	2	5.1936	0.1301	1.9427	0	1	3.8897	-2.7094	2	1	1	2.183	2	0	0	1	1	1	1	0.7549	1	2.9306	0	1	3.7749	0.2144	-1.0488	-4.5533	-3.4174	1	2.1806	-6.1532	2	1	0	-1.2867	4.2785	2	2.1778	2	1	5.1041	2.7564	0.211
-1.4063	1	0	-0.4592	1.8956	-1.1592	1	2	1.4527	0	0	1.863	2	2	0.1681	2	1.0797	-0.7268	0.469	3.6437	2.9215	2.6973	-0.0047	2.8874	2.1898	0.7082	0	0	0	1	-1.116	-2.0733	2	-0.8125	2	-1.4068	-0.6114	6.9229	0	-1.1591	2	2	1	-1.3964	2	3.2121	2	-0.2717	0	-1.6495	1	0	0	0	5.2997	2	0	-5.9728	1.9863	-0.6876	2	1	2.8684	-1.1741	1	0	2	-2.7017	2	1	0	1	2	2	0	1.9129	1	0.1334	1	2	-4.6418	0.1484	0.3085	2.0532	1.1604	0	5.341	-0.6757	1	1	0	-1.881	5.5413	0	8.0221	1	0	3.9098	-6.6245	-2.4652
-0.0096	1	2	-0.6812	5.0575	-0.4441	0	2	0.1004	2	0	0.7877	1	0	1.1995	2	1.974	-0.5229	-1.6288	1.012	0.4874	2.128	2.5461	1.2141	0.2862	-0.7682	1	2	0	1	0.3383	-1.1383	2	-1.0871	2	1.703	-0.1152	-0.7893	1	-0.9767	2	0	1	-1.2703	2	-0.614	2	-0.6931	0	-0.284	1	0	1	1	3.6381	2	0	-2.0458	1.1935	-3.6067	2	2	2.2407	-1.7727	0	2	1	-0.8167	1	1	0	2	1	1	1	0.3757	2	2.1477	1	2	-0.9555	-1.4283	-0.5528	7.7969	1.3643	1	3.7602	-4.0923	1	1	2	-2.2143	4.1734	0	1.6352	0	2	8.7078	-0.6523	-0.6584
1.6332	2	1	0.588	-0.8173	0.0934	1	2	1.5773	0	1	-1.1137	2	0	-2.9276	2	0.3657	1.4836	2.5676	-1.4387	-2.7475	-1.3572	-0.506	-3.9718	-2.4679	-2.4065	2	0	0	0	3.3224	-1.5338	0	-1.6746	2	-0.4507	1.3854	-2.046	0	-1.8887	0	1	1	1.0927	1	-2.3884	0	1.7272	1	1.8559	0	1	2	2	-3.4069	0	2	2.5864	-0.8218	2.2715	0	0	0.044	-2.6605	1	0	1	1.9791	0	2	1	1	2	0	2	-1.0963	1	-1.1522	1	0	6.1476	2.783	-2.0486	-3.7908	-1.5088	1	1.7416	-1.0527	2	0	2	0.8853	0.6597	1	2.8426	2	0	-0.3642	1.5903	2.6567
0.2628	1	1	0.7201	-0.6951	1.1833	0	0	0.8885	2	2	0.1723	1	1	0.1673	1	1.6072	-1.0813	2.0103	0.8914	1.1742	3.3547	-0.0668	1.3003	-0.4322	-0.3955	0	0	1	1	0.3107	-0.0762	1	-1.9389	0	0.5376	1.6284	3.9206	1	-0.6475	0	1	0	0.6281	0	0.1785	2	-0.272	1	-0.1615	0	1	2	2	-0.8401	0	2	-3.0068	4.3796	-0.4402	2	2	-1.115	-1.2139	1	1	2	-3.058	0	1	2	1	0	1	1	-0.5295	1	4.6661	1	0	-2.5308	1.8114	1.9934	2.8591	-1.0805	0	-0.2071	2.892	2	1	2	-4.7095	5.1731	0	2.5087	1	0	-1.4025	1.3503	1.1454
0.8499	0	1	-0.4329	-1.3327	0.2386	1	0	0.4235	1	0	-0.019	2	0	0.8561	0	2.2668	-2.4723	2.2768	-0.5271	2.4289	1.3382	1.4219	-0.6357	2.7672	-0.0251	2	0	0	1	1.7842	-0.2787	0	1.4995	0	0.9761	-1.9411	0.5864	0	-0.284	0	0	0	0.8281	1	-0.6971	1	1.4398	1	-1.2018	0	2	0	0	1.4923	1	0	-2.6945	-0.5347	3.1552	0	2	-4.121	-0.1982	0	2	1	0.5649	0	0	1	0	2	0	0	-0.0489	2	4.7563	1	0	-2.3847	-1.4268	-1.0071	-4.9951	1.9321	0	-0.3334	-0.105	1	1	2	-3.1768	4.3002	0	-4.0224	2	1	-2.2959	2.447	-2.0668
