X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25
0	0	1	2	1.2543	-0.5921	1.7736	-0.308	0	2	0.631	0.1558	2.2783	0	2	1	0.6324	0	2	-5.8146	1	2	0.6115	9.5663	9.1595
0	2	0	0	0.5319	-1.627	-0.8982	0.7376	0	0	1.1766	1.2315	-1.7276	2	1	2	-1.2443	0	0	5.4726	1	2	-0.0828	-4.4454	-3.8657
2	0	0	2	0.658	-2.916	-1.245	1.83	1	0	0.4462	0.06	-1.4943	0	1	1	-1.8718	0	2	5.0985	0	2	0.2699	-4.126	-5.6711
1	0	2	0	1.7976	-1.4855	0.1097	-0.6451	2	2	-1.5591	0.9996	-2.5158	2	2	2	1.4209	1	1	0.2266	2	2	2.3251	-0.3803	3.7741
0	0	2	0	-1.6099	-0.8661	1.1668	0.2882	1	2	-0.3018	1.3246	-1.2866	2	2	1	0.0206	2	0	1.1757	0	0	0.5019	-0.308	0.7713
0	0	0	0	-0.7597	-2.0307	-1.0778	0.9404	2	0	1.4536	0.0942	-0.8059	0	2	0	-0.091	0	2	1.5518	1	1	2.7601	0.6198	0.2146
1	2	2	0	0.3075	0.0663	-0.4819	-5.1111	2	2	4.9624	1.8281	-2.7559	0	1	2	-0.7076	1	0	5.6049	1	1	-2.4903	-7.4085	0.2759
2	0	2	2	-0.8093	-0.3103	-0.0571	2.5535	1	2	-1.6991	-3.597	2.273	1	1	1	-0.9924	0	1	-1.4419	2	0	-0.2223	1.6674	-1.0774
0	2	2	0	-2.1443	0.4663	0.5569	1.018	2	2	-0.7036	1.3677	-1.0554	2	2	2	-2.9793	2	0	5.894	1	1	0.1643	-8.0152	-6.4237
0	1	0	0	-0.4406	-1.4264	-0.7104	0.6191	1	0	-1.0677	0.7422	-0.2731	2	0	1	-4.6029	2	1	7.4316	2	1	1.2048	-10.7451	-11.479
2	0	1	2	-0.5765	-2.4538	-0.2663	0.8552	0	0	-2.6518	-1.373	2.9768	1	0	1	0.5594	1	1	-5.7451	0	0	-2.3272	10.2125	6.7713
2	2	1	1	-1.698	-1.8318	-2.466	-3.0448	0	1	3.4137	1.5877	-4.2849	1	2	2	-0.691	1	0	5.6233	0	2	-0.0293	-5.4474	-1.2815
2	1	0	2	-0.4637	0.4763	-1.3523	-1.5959	0	0	1.3268	2.6161	-0.2108	0	0	2	3.5029	1	0	-5.1032	2	2	0.2342	5.9563	7.5878
0	2	0	0	1.2127	1.5114	1.631	-1.0569	2	2	-1.3797	0.1567	-0.2139	2	1	1	0.7232	1	2	1.1165	1	1	-0.8473	-1.0442	0.6939
1	1	2	1	1.263	-1.521	-1.7575	-0.1383	2	1	-2.0269	1.6522	-2.6807	2	0	2	-1.5805	2	2	5.6168	2	1	0.1075	-7.5696	-4.0035
0	2	2	0	-0.9927	0.4317	3.712	-1.1751	1	2	-2.2753	0.0507	-0.547	1	2	1	-1.5369	1	1	4.0822	2	1	-1.0403	-5.4321	-5.3317
2	0	1	2	-2.981	2.68	-0.0207	-0.1073	0	1	0.8948	0.688	1.8773	1	1	2	1.4774	0	0	-4.7968	0	2	-2.0408	7.6937	7.556
1	2	1	1	-0.3435	1.5383	-1.4425	-0.247	0	1	0.2212	-0.3751	-1.4523	1	2	2	-0.7903	1	0	3.8258	0	2	0.6093	-3.371	-6.1137
1	2	0	1	0.709	-2.889	-1.6756	-2.1283	1	1	2.1484	1.8747	-4.5143	0	0	0	-1.7379	1	0	9.4739	2	2	-1.6012	-12.8451	-10.3066
1	0	1	1	-1.1212	1.6871	0.2727	0.2256	2	0	0.2281	-1.2109	1.0928	1	1	0	1.7061	1	0	-4.595	0	0	0.0103	3.501	5.3327
1	0	1	1	-1.3185	-1.231	-1.9309	0.2559	0	2	-1.4763	1.8188	-2.3028	0	2	2	-1.671	1	1	4.3172	0	1	4.0084	-4.0511	-4.0936
1	0	2	0	-0.7183	-0.3405	0.3791	-1.0708	2	1	-0.8841	-2.7064	1.5235	1	0	1	-3.5311	1	1	0.474	0	0	1.8396	-1.7901	-2.6101
0	1	1	0	0.2469	0.8823	1.7177	1.2707	1	1	-2.1681	2.9045	-1.3858	2	0	2	-0.9392	0	1	4.3527	2	1	-0.7583	-3.5851	-2.7245
0	1	1	0	0.8947	-0.2685	-0.4437	-0.9377	2	2	0.8754	-1.6147	2.1675	0	2	0	1.8157	1	1	-4.2601	1	0	-0.9495	4.7854	3.6726
0	0	1	0	-2.7398	-2.0511	-3.4344	0.8632	2	1	0.9148	4.8744	-7.0145	2	0	2	-3.0506	2	0	10.3668	1	2	2.026	-14.5414	-11.2603
2	1	2	1	-0.1287	-3.5824	-3.0419	-1.0698	0	1	1.0728	2.3366	-0.8048	2	0	2	5.1368	2	0	-3.9942	2	1	-0.2771	5.242	10.3541
0	1	2	0	0.1468	2.1148	1.3978	-2.3257	0	2	1.4271	-2.3798	3.7518	1	0	1	2.892	1	0	-7.1764	0	0	0.4898	9.5247	9.701
1	2	2	0	-0.924	-0.5512	1.5854	1.655	2	2	-1.7152	-3.0773	4.843	1	2	1	1.7583	0	1	-5.3066	1	1	2.2487	7.9347	3.4768
2	0	0	2	2.7013	-1.5388	-3.0042	-0.5453	1	1	1.587	-0.2129	-1.9027	0	1	1	-0.7885	2	2	-0.6266	2	2	1.5004	0.1019	-0.5425
0	1	1	0	0.8168	-2.2799	-0.7071	-0.7058	0	1	2.0543	-1.247	2.7815	0	2	2	-0.0586	2	0	-4.833	1	0	1.2698	4.9121	2.1247
2	2	0	1	1.6262	-0.8992	-0.3703	0.465	2	0	1.0876	-1.9908	0.8666	0	1	1	0.3254	0	2	-0.6534	1	0	0.7453	2.0893	0.7344
0	1	1	0	0.272	-0.0577	-0.6649	-0.3425	0	2	0.7117	0.042	3.6439	2	2	2	6.2224	0	0	-9.8745	2	1	0.9822	15.2883	12.6472
0	0	0	2	-3.6129	-0.1152	-1.3543	1.6636	0	1	-1.4278	0.1106	-0.6409	1	0	2	-1.8188	0	1	1.7398	0	2	-0.9074	-0.133	-2.6747
1	0	1	1	-0.2229	0.9775	2.0995	-0.5176	1	0	-1.4901	3.5154	-5.7749	2	0	2	-3.2965	1	1	6.9273	2	1	-0.25	-7.7781	-6.2866
1	2	0	0	-0.1033	4.6568	3.9449	1.1572	2	2	-0.8683	-1.8455	3.2064	2	2	1	-1.4322	0	1	-1.0094	1	0	-1.1275	2.8258	-2.0971
0	0	0	0	-0.5847	0.4783	0.1038	-0.1104	2	0	0.3134	0.3507	-2.6423	2	2	0	-3.1917	1	0	4.345	1	0	0.4607	-5.6488	-6.5485
0	0	1	0	1.1706	-1.0334	-0.7772	0.3599	0	0	-0.1587	-3.7519	6.0896	0	1	1	2.2819	0	2	-8.201	1	0	-0.7581	12.4469	9.9348
2	2	1	2	-0.5013	-0.6919	-0.4465	-0.891	0	0	0.8457	2.7738	-2.8117	2	1	2	3.3018	2	0	0.5406	2	2	-1.6506	-0.8153	3.0545
2	1	2	2	0.8417	-2.0685	-2.8253	-0.5066	0	2	1.538	3.8662	-4.4015	0	2	2	1.9716	0	2	2.6792	1	1	-0.4807	-2.1557	2.2986
1	0	1	1	0.1194	1.5133	-0.124	1.7438	1	1	-0.8927	1.5077	-4.6203	2	1	1	-2.6969	0	1	7.0469	1	2	1.3771	-8.0648	-8.6077
2	2	1	2	-0.9363	-0.9872	-0.1149	1.6226	0	1	-2.44	-2.8693	3.9107	1	1	1	1.6201	1	1	-3.6391	1	0	-0.9032	6.4135	2.2484
1	1	0	1	-0.073	2.2206	1.8053	-0.2843	2	2	-2.3695	-0.5948	-0.3718	1	2	0	-0.2607	2	1	-0.5661	1	0	-0.8107	-0.7585	-2.6041
0	2	1	0	-0.0969	-0.277	-1.153	-1.3741	0	1	2.0808	2.1881	-4.1972	2	1	2	-5.5042	1	0	13.0181	2	1	0.9507	-13.0291	-10.0083
2	2	0	0	-0.4366	0.7141	1.2327	-4.1783	0	0	2.0808	0.6632	-0.743	0	1	0	0.6688	1	2	3.7923	2	2	0.6428	-2.6149	-0.9916
0	0	0	0	-0.6851	0.0938	0.9456	2.1861	0	0	-3.5707	2.1233	-0.1583	2	1	0	2.9215	0	1	-2.7861	0	1	1.3053	6.4802	2.9697
1	1	0	1	0.8268	-0.0187	0.1367	-0.0372	1	0	-0.0946	-0.7839	-1.4672	1	0	0	-2.8313	2	0	5.049	2	1	1.8721	-7.6333	-11.6968
2	0	0	0	-0.9464	1.7221	1.5251	-2.0943	1	0	-0.6313	-1.2083	2.3454	1	1	0	0.2611	1	0	-2.3233	1	2	-0.0222	3.0181	3.9368
0	1	2	0	-2.2799	-0.6466	0.3619	-0.7561	0	2	-0.412	-0.498	0.069	1	1	0	-2.6502	1	0	3.2967	0	1	0.3127	-2.8183	-0.1523
1	0	2	1	-0.0241	-2.2935	-2.1493	-0.4015	2	1	2.0689	-0.0284	-2.0868	1	0	0	-3.6433	1	0	5.2475	0	1	2.0786	-5.0965	-2.3056
2	2	0	2	1.3093	-2.5936	-1.1672	0.3672	1	0	-0.6338	0.5145	-3.6885	0	1	0	-3.0511	0	2	6.8147	1	2	-2.444	-7.4445	-8.6564
2	1	1	2	-0.3097	-0.3148	-0.2581	-1.3257	1	1	0.4315	-1.1164	1.0193	0	2	1	1.7606	1	2	-4.8966	0	0	1.3117	5.4018	4.1848
1	0	1	1	2.1599	1.1912	-0.6762	-1.2641	2	2	-2.1877	-1.5302	0.1536	1	2	1	-1.2152	1	1	-0.9482	1	0	-0.7541	2.3883	2.6278
1	0	0	1	-0.7337	-1.3255	-2.4905	1.1552	0	1	-0.9551	3.0457	-4.8253	2	0	2	-1.1098	2	1	3.0831	2	2	1.3411	-3.7516	-5.4125
1	2	1	0	-0.1645	-2.0122	-0.2875	2.4749	0	1	-1.0697	0.4449	-2.8163	2	0	2	-2.5809	0	2	7.7216	0	0	-1.7063	-8.9026	-11.6484
1	1	0	1	-0.7504	-0.7034	-1.8249	-3.0782	0	0	3.7519	3.2047	-3.0029	0	0	2	1.1539	1	0	0.9158	2	2	0.6354	-1.3728	3.6149
1	2	0	2	-0.8054	-0.6154	-0.1346	-1.3855	0	0	0.9124	1.1156	-2.2851	1	0	2	-2.4122	1	0	8.0085	0	2	-2.0839	-8.7537	-9.8703
2	1	1	1	1.8038	-2.4597	-2.1418	-3.557	1	1	4.9149	1.2203	-2.5376	0	2	2	-0.835	1	0	3.6774	0	1	-0.0255	-2.1779	3.423
1	0	0	0	-2.3392	-0.5736	-0.1975	3.1352	2	0	-1.9816	0.3427	0.0342	2	2	0	-0.8284	0	0	-0.3243	1	2	0.8075	2.9391	-1.6106
1	0	2	2	2.4293	-0.2877	1.8221	1.8084	2	2	-1.2949	2.8503	-3.3203	2	2	2	-2.2848	2	2	4.735	1	2	-0.0455	-9.248	-6.3179
2	2	2	0	0.9833	3.3079	2.0015	1.9815	0	2	-2.9126	-1.3291	3.997	2	2	1	4.096	2	1	-4.3957	0	0	-1.6743	1.6051	-3.5751
0	1	2	0	1.0262	-2.1208	-1.4905	0.9366	0	1	0.58	3.9271	-4.7521	2	0	2	-1.0692	2	2	3.7807	2	1	1.2271	-3.6827	-0.5306
1	0	0	2	0.3439	2.7338	3.909	0.8992	0	2	-3.8487	-1.3924	3.2423	1	0	1	0.2037	1	1	-4.0629	0	2	-1.0081	5.9538	2.474
0	0	1	0	0.1022	-0.0533	1.2705	3.7667	1	1	-4.2634	1.1506	-2.7052	2	0	1	-0.0812	2	1	-0.0626	1	1	2.3627	-0.5761	-1.8839
0	1	0	0	0.861	0.9374	0.0066	2.2622	2	0	-4.2933	2.6543	-4.0859	2	1	0	-0.8679	0	1	3.8847	1	2	0.9694	-4.2459	-3.167
1	1	2	1	-0.5278	-1.4605	-1.2406	-1.3209	1	1	1.2451	1.7382	-3.4869	2	0	0	-3.1065	2	0	7.9668	2	1	0.0347	-9.3532	-5.8064
